distance,id,runner_key,total_elevation_gain,sport_type,start_date_local,kudos_count,average_speed,created_at,name,moving_time,elapsed_time,type,start_date,timezone,athlete_count
30106.8,12970514355,5,1165.0,TrailRun,2024-11-24T06:45:23Z,11,2.294,2025-02-04 14:55:14.618904+00:00,Morning Trail Run,13123,13860,Run,2024-11-24T05:45:23Z,(GMT+01:00) Europe/Rome,3
18660.2,12956403489,5,566.0,TrailRun,2024-11-22T06:25:51Z,10,2.417,2025-02-04 14:55:14.618904+00:00,Morning Trail Run,7721,7830,Run,2024-11-22T05:25:51Z,(GMT+01:00) Europe/Rome,2
13074.6,12943431290,5,489.0,Run,2024-11-20T12:06:18Z,9,3.075,2025-02-04 14:55:14.618904+00:00,Lunch Run,4252,4291,Run,2024-11-20T11:06:18Z,(GMT+01:00) Europe/Rome,1
4835.5,12934177122,5,13.0,Run,2024-11-19T07:02:26Z,7,2.757,2025-02-04 14:55:14.618904+00:00,Morning Run,1754,1757,Run,2024-11-19T06:02:26Z,(GMT+01:00) Europe/Rome,1
8281.7,12924257055,5,40.0,Run,2024-11-17T18:20:44Z,12,2.885,2025-02-04 14:55:14.618904+00:00,Evening Run,2871,2882,Run,2024-11-17T17:20:44Z,(GMT+01:00) Europe/Rome,1
12999.8,12913534118,5,656.0,TrailRun,2024-11-16T09:30:11Z,13,3.016,2025-02-04 14:55:14.618904+00:00,Trail del cavatore,4032,4310,Run,2024-11-16T08:30:11Z,(GMT+01:00) Europe/Rome,8
18858.4,12896926511,5,587.0,TrailRun,2024-11-14T06:25:58Z,8,2.547,2025-02-04 14:55:14.618904+00:00,Morning Trail Run,7404,7499,Run,2024-11-14T05:25:58Z,(GMT+01:00) Europe/Rome,2
10101.4,12892392366,5,397.0,Run,2024-11-13T16:15:40Z,6,2.84,2025-02-04 14:55:14.618904+00:00,Afternoon Run,3557,3629,Run,2024-11-13T15:15:40Z,(GMT+01:00) Europe/Rome,1
11000.0,12881463465,5,40.0,Run,2024-11-12T08:30:00Z,5,2.444,2025-02-04 14:55:14.618904+00:00,Morning Run,4500,4500,Run,2024-11-12T07:30:00Z,(GMT+01:00) Europe/Rome,1
9624.8,12876512109,5,244.0,Run,2024-11-11T16:11:20Z,4,2.807,2025-02-04 14:55:14.618904+00:00,Polar verity sense Disperso 🥺,3429,3495,Run,2024-11-11T15:11:20Z,(GMT+01:00) Europe/Rome,1
